Provinsi/Kabupaten/Kota,Laki-laki,Perempuan
KOTA CILEGON,21050,7837
Kota Cilegon,21050,7837
KOTA SERANG,19579,12798
Kota Serang,19579,12798
KOTA TANGERANG SELATAN,22464,15051
Kota Tangerang Selatan,22464,15051
BALI,17088,13430
JEMBRANA,14048,11396
Jembrana,14048,11396
TABANAN,14946,13723
Tabanan,14946,13723
BADUNG,19752,17127
Badung,19752,17127
GIANYAR,16841,13746
Gianyar,16841,13746
KLUNGKUNG,14518,11112
Klungkung,14518,11112
BANGLI,15105,10974
Bangli,15105,10974
KARANG ASEM,14465,9014
Karangasem,14465,9014
BULELENG,18232,12652
Buleleng,18232,12652
KOTA DENPASAR,21484,19381
Kota Denpasar,21484,19381
NUSA TENGGARA BARAT,14615,9263
LOMBOK BARAT,17455,10469
Lombok Barat,17455,10469
LOMBOK TENGAH,15073,8199
Lombok Tengah,15073,8199
LOMBOK TIMUR,12458,8417
Lombok Timur,12458,8417
SUMBAWA,11773,9061
Sumbawa,11773,9061
DOMPU,13738,8136
Dompu,13738,8136
BIMA,11272,7754
Bima,11272,7754
SUMBAWA BARAT,15643,11445
Sumbawa Barat,15643,11445
LOMBOK UTARA,13488,6684
Lombok Utara,13488,6684
KOTA MATARAM,19275,13564
Kota Mataram,19275,13564
KOTA BIMA,12747,10610
Kota Bima,12747,10610
NUSA TENGGARA TIMUR,10890,7339
SUMBA BARAT,9378,7396
Sumba Barat,9378,7396
SUMBA TIMUR,11958,9460
Sumba Timur,11958,9460
KUPANG,11055,5723
Kupang,11055,5723
TIMOR TENGAH SELATAN,9332,6233
Timor Tengah Selatan,9332,6233
TIMOR TENGAH UTARA,7794,6071
Timor Tengah Utara,7794,6071
BELU,8588,7445
Belu,8588,7445
ALOR,9586,6831
Alor,9586,6831
LEMBATA,10391,7072
Lembata,10391,7072
FLORES TIMUR,10695,7450
Flores Timur,10695,7450
SIKKA,12631,6464
Sikka,12631,6464
ENDE,10159,9037
Ende,10159,9037
NGADA,11392,8740
Ngada,11392,8740
MANGGARAI,10953,5796
Manggarai,10953,5796
ROTE NDAO,10201,4559
Rote Ndao,10201,4559
MANGGARAI BARAT,11577,6147
Manggarai Barat,11577,6147
SUMBA TENGAH,8534,5181
Sumba Tengah,8534,5181
SUMBA BARAT DAYA,7078,6561
Sumba Barat Daya,7078,6561
NAGEKEO,8433,8564
Nagekeo,8433,8564
MANGGARAI TIMUR,8394,5381
Manggarai Timur,8394,5381
SABU RAIJUA,7358,4964
Sabu Raijua,7358,4964
MALAKA,8896,5196
Malaka,8896,5196
KOTA KUPANG,16192,13038
Kota Kupang,16192,13038
KALIMANTAN BARAT,13950,6417
SAMBAS,15518,7483
Sambas,15518,7483
BENGKAYANG,13517,4910
Bengkayang,13517,4910
LANDAK,10906,6059
Landak,10906,6059
PONTIANAK,12254,5989
Mempawah,12254,5989
SANGGAU,13389,4649
Sanggau,13389,4649
KETAPANG,13181,7067
Ketapang,13181,7067
SINTANG,12823,5938
